month,temperature,precipitation,city,vraie city,country,Region,Category,Latitude,Longitude,Approximate Annual Tourists,Currency,Majority Religion,Famous Foods,Language,Best Time to Visit,Cost of Living,Safety,Cultural Significance,Description,daily_budget,travel_type,plage & détente,vie nocturne,nature,culture,ville,aventure,safety_score,safety_label,month_weather_score,spring_score,summer_score,autumn_score,winter_score,best_season,image_url,food_name_1,food_image_1,food_name_2,food_image_2,food_name_3,food_image_3,remote_work_score,internet_quality,coworking_score,monthly_remote_budget,digital_nomad_visa,tax_advantage_note,english_friendly,timezone_score,remote_work_summary,remote_housing_estimate,remote_living_estimate,coworking_monthly_estimate,visa_remote_info,visa_source_name,visa_source_url
2,10.282352941176471,1.3752941176470588,Barcelona,ville,Spain,Catalonia,City,41.385064,2.173135,12700000,Euro (EUR),Roman Catholic,"Paella, Tapas, Gazpacho",Spanish,Été,Medium-high,"Generally safe, but watch out for pickpockets","Known for its Gaudi architecture, beautiful beaches, and vibrant nightlife.","A city of stunning architecture, art, and vibrant culture. Famous for La Sagrada Familia and Park Güell.",110,Vie nocturne | Culture | City Break,2,5,2,4,5,2,3,Vigilance modérée,2,2,5,3,2,Été,https://images.unsplash.com/photo-1593368858664-a7fe556ab936?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQxNTV8MHwxfHNlYXJjaHwxfHxCYXJjZWxvbmElMjBTcGFpbiUyMHRyYXZlbHxlbnwwfDB8fHwxNzgxMTAzMDc3fDA&ixlib=rb-4.1.0&q=80&w=1080,Paella,https://live.staticflickr.com/3285/4557154043_0bb1750e74_b.jpg,Tapas,https://live.staticflickr.com/6/11922611_66aba1383f_b.jpg,Gazpacho,https://live.staticflickr.com/3151/2304389388_cded17e6af_b.jpg,67.0,4.5,5.0,1820,Visa teletravail a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.4,4.2,"Barcelona ressort comme un hub interessant pour les teletravailleurs : coworking, services urbains et vie locale y sont particulierement solides.",790,750,200,"Cadre pour teletravailleurs internationaux, conditions a verifier au consulat.",Consulat / autorites espagnoles,
3,12.526881720430108,2.376344086021505,Barcelona,ville,Spain,Catalonia,City,41.385064,2.173135,12700000,Euro (EUR),Roman Catholic,"Paella, Tapas, Gazpacho",Spanish,Été,Medium-high,"Generally safe, but watch out for pickpockets","Known for its Gaudi architecture, beautiful beaches, and vibrant nightlife.","A city of stunning architecture, art, and vibrant culture. Famous for La Sagrada Familia and Park Güell.",110,Vie nocturne | Culture | City Break,2,5,2,4,5,2,3,Vigilance modérée,2,2,5,3,2,Été,https://images.unsplash.com/photo-1593368858664-a7fe556ab936?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQxNTV8MHwxfHNlYXJjaHwxfHxCYXJjZWxvbmElMjBTcGFpbiUyMHRyYXZlbHxlbnwwfDB8fHwxNzgxMTAzMDc3fDA&ixlib=rb-4.1.0&q=80&w=1080,Paella,https://live.staticflickr.com/3285/4557154043_0bb1750e74_b.jpg,Tapas,https://live.staticflickr.com/6/11922611_66aba1383f_b.jpg,Gazpacho,https://live.staticflickr.com/3151/2304389388_cded17e6af_b.jpg,67.0,4.5,5.0,1820,Visa teletravail a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.4,4.2,"Barcelona ressort comme un hub interessant pour les teletravailleurs : coworking, services urbains et vie locale y sont particulierement solides.",790,750,200,"Cadre pour teletravailleurs internationaux, conditions a verifier au consulat.",Consulat / autorites espagnoles,
4,14.658888888888889,2.214444444444444,Barcelona,ville,Spain,Catalonia,City,41.385064,2.173135,12700000,Euro (EUR),Roman Catholic,"Paella, Tapas, Gazpacho",Spanish,Été,Medium-high,"Generally safe, but watch out for pickpockets","Known for its Gaudi architecture, beautiful beaches, and vibrant nightlife.","A city of stunning architecture, art, and vibrant culture. Famous for La Sagrada Familia and Park Güell.",110,Vie nocturne | Culture | City Break,2,5,2,4,5,2,3,Vigilance modérée,2,2,5,3,2,Été,https://images.unsplash.com/photo-1593368858664-a7fe556ab936?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQxNTV8MHwxfHNlYXJjaHwxfHxCYXJjZWxvbmElMjBTcGFpbiUyMHRyYXZlbHxlbnwwfDB8fHwxNzgxMTAzMDc3fDA&ixlib=rb-4.1.0&q=80&w=1080,Paella,https://live.staticflickr.com/3285/4557154043_0bb1750e74_b.jpg,Tapas,https://live.staticflickr.com/6/11922611_66aba1383f_b.jpg,Gazpacho,https://live.staticflickr.com/3151/2304389388_cded17e6af_b.jpg,67.0,4.5,5.0,1820,Visa teletravail a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.4,4.2,"Barcelona ressort comme un hub interessant pour les teletravailleurs : coworking, services urbains et vie locale y sont particulierement solides.",790,750,200,"Cadre pour teletravailleurs internationaux, conditions a verifier au consulat.",Consulat / autorites espagnoles,
5,17.476344086021506,2.1333333333333333,Barcelona,ville,Spain,Catalonia,City,41.385064,2.173135,12700000,Euro (EUR),Roman Catholic,"Paella, Tapas, Gazpacho",Spanish,Été,Medium-high,"Generally safe, but watch out for pickpockets","Known for its Gaudi architecture, beautiful beaches, and vibrant nightlife.","A city of stunning architecture, art, and vibrant culture. Famous for La Sagrada Familia and Park Güell.",110,Vie nocturne | Culture | City Break,2,5,2,4,5,2,3,Vigilance modérée,2,2,5,3,2,Été,https://images.unsplash.com/photo-1593368858664-a7fe556ab936?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQxNTV8MHwxfHNlYXJjaHwxfHxCYXJjZWxvbmElMjBTcGFpbiUyMHRyYXZlbHxlbnwwfDB8fHwxNzgxMTAzMDc3fDA&ixlib=rb-4.1.0&q=80&w=1080,Paella,https://live.staticflickr.com/3285/4557154043_0bb1750e74_b.jpg,Tapas,https://live.staticflickr.com/6/11922611_66aba1383f_b.jpg,Gazpacho,https://live.staticflickr.com/3151/2304389388_cded17e6af_b.jpg,67.0,4.5,5.0,1820,Visa teletravail a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.4,4.2,"Barcelona ressort comme un hub interessant pour les teletravailleurs : coworking, services urbains et vie locale y sont particulierement solides.",790,750,200,"Cadre pour teletravailleurs internationaux, conditions a verifier au consulat.",Consulat / autorites espagnoles,
6,23.24,1.3766666666666665,Barcelona,ville,Spain,Catalonia,City,41.385064,2.173135,12700000,Euro (EUR),Roman Catholic,"Paella, Tapas, Gazpacho",Spanish,Été,Medium-high,"Generally safe, but watch out for pickpockets","Known for its Gaudi architecture, beautiful beaches, and vibrant nightlife.","A city of stunning architecture, art, and vibrant culture. Famous for La Sagrada Familia and Park Güell.",110,Vie nocturne | Culture | City Break,2,5,2,4,5,2,3,Vigilance modérée,5,2,5,3,2,Été,https://images.unsplash.com/photo-1593368858664-a7fe556ab936?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQxNTV8MHwxfHNlYXJjaHwxfHxCYXJjZWxvbmElMjBTcGFpbiUyMHRyYXZlbHxlbnwwfDB8fHwxNzgxMTAzMDc3fDA&ixlib=rb-4.1.0&q=80&w=1080,Paella,https://live.staticflickr.com/3285/4557154043_0bb1750e74_b.jpg,Tapas,https://live.staticflickr.com/6/11922611_66aba1383f_b.jpg,Gazpacho,https://live.staticflickr.com/3151/2304389388_cded17e6af_b.jpg,67.0,4.5,5.0,1820,Visa teletravail a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.4,4.2,"Barcelona ressort comme un hub interessant pour les teletravailleurs : coworking, services urbains et vie locale y sont particulierement solides.",790,750,200,"Cadre pour teletravailleurs internationaux, conditions a verifier au consulat.",Consulat / autorites espagnoles,
7,25.258064516129032,1.960215053763441,Barcelona,ville,Spain,Catalonia,City,41.385064,2.173135,12700000,Euro (EUR),Roman Catholic,"Paella, Tapas, Gazpacho",Spanish,Été,Medium-high,"Generally safe, but watch out for pickpockets","Known for its Gaudi architecture, beautiful beaches, and vibrant nightlife.","A city of stunning architecture, art, and vibrant culture. Famous for La Sagrada Familia and Park Güell.",110,Vie nocturne | Culture | City Break,2,5,2,4,5,2,3,Vigilance modérée,5,2,5,3,2,Été,https://images.unsplash.com/photo-1593368858664-a7fe556ab936?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQxNTV8MHwxfHNlYXJjaHwxfHxCYXJjZWxvbmElMjBTcGFpbiUyMHRyYXZlbHxlbnwwfDB8fHwxNzgxMTAzMDc3fDA&ixlib=rb-4.1.0&q=80&w=1080,Paella,https://live.staticflickr.com/3285/4557154043_0bb1750e74_b.jpg,Tapas,https://live.staticflickr.com/6/11922611_66aba1383f_b.jpg,Gazpacho,https://live.staticflickr.com/3151/2304389388_cded17e6af_b.jpg,67.0,4.5,5.0,1820,Visa teletravail a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.4,4.2,"Barcelona ressort comme un hub interessant pour les teletravailleurs : coworking, services urbains et vie locale y sont particulierement solides.",790,750,200,"Cadre pour teletravailleurs internationaux, conditions a verifier au consulat.",Consulat / autorites espagnoles,
8,25.76989247311828,1.3698924731182796,Barcelona,ville,Spain,Catalonia,City,41.385064,2.173135,12700000,Euro (EUR),Roman Catholic,"Paella, Tapas, Gazpacho",Spanish,Été,Medium-high,"Generally safe, but watch out for pickpockets","Known for its Gaudi architecture, beautiful beaches, and vibrant nightlife.","A city of stunning architecture, art, and vibrant culture. Famous for La Sagrada Familia and Park Güell.",110,Vie nocturne | Culture | City Break,2,5,2,4,5,2,3,Vigilance modérée,5,2,5,3,2,Été,https://images.unsplash.com/photo-1593368858664-a7fe556ab936?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQxNTV8MHwxfHNlYXJjaHwxfHxCYXJjZWxvbmElMjBTcGFpbiUyMHRyYXZlbHxlbnwwfDB8fHwxNzgxMTAzMDc3fDA&ixlib=rb-4.1.0&q=80&w=1080,Paella,https://live.staticflickr.com/3285/4557154043_0bb1750e74_b.jpg,Tapas,https://live.staticflickr.com/6/11922611_66aba1383f_b.jpg,Gazpacho,https://live.staticflickr.com/3151/2304389388_cded17e6af_b.jpg,67.0,4.5,5.0,1820,Visa teletravail a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.4,4.2,"Barcelona ressort comme un hub interessant pour les teletravailleurs : coworking, services urbains et vie locale y sont particulierement solides.",790,750,200,"Cadre pour teletravailleurs internationaux, conditions a verifier au consulat.",Consulat / autorites espagnoles,
9,21.526666666666667,4.09,Barcelona,ville,Spain,Catalonia,City,41.385064,2.173135,12700000,Euro (EUR),Roman Catholic,"Paella, Tapas, Gazpacho",Spanish,Été,Medium-high,"Generally safe, but watch out for pickpockets","Known for its Gaudi architecture, beautiful beaches, and vibrant nightlife.","A city of stunning architecture, art, and vibrant culture. Famous for La Sagrada Familia and Park Güell.",110,Vie nocturne | Culture | City Break,2,5,2,4,5,2,3,Vigilance modérée,3,2,5,3,2,Été,https://images.unsplash.com/photo-1593368858664-a7fe556ab936?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQxNTV8MHwxfHNlYXJjaHwxfHxCYXJjZWxvbmElMjBTcGFpbiUyMHRyYXZlbHxlbnwwfDB8fHwxNzgxMTAzMDc3fDA&ixlib=rb-4.1.0&q=80&w=1080,Paella,https://live.staticflickr.com/3285/4557154043_0bb1750e74_b.jpg,Tapas,https://live.staticflickr.com/6/11922611_66aba1383f_b.jpg,Gazpacho,https://live.staticflickr.com/3151/2304389388_cded17e6af_b.jpg,67.0,4.5,5.0,1820,Visa teletravail a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.4,4.2,"Barcelona ressort comme un hub interessant pour les teletravailleurs : coworking, services urbains et vie locale y sont particulierement solides.",790,750,200,"Cadre pour teletravailleurs internationaux, conditions a verifier au consulat.",Consulat / autorites espagnoles,
10,18.89462365591398,2.7645161290322577,Barcelona,ville,Spain,Catalonia,City,41.385064,2.173135,12700000,Euro (EUR),Roman Catholic,"Paella, Tapas, Gazpacho",Spanish,Été,Medium-high,"Generally safe, but watch out for pickpockets","Known for its Gaudi architecture, beautiful beaches, and vibrant nightlife.","A city of stunning architecture, art, and vibrant culture. Famous for La Sagrada Familia and Park Güell.",110,Vie nocturne | Culture | City Break,2,5,2,4,5,2,3,Vigilance modérée,4,2,5,3,2,Été,https://images.unsplash.com/photo-1593368858664-a7fe556ab936?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQxNTV8MHwxfHNlYXJjaHwxfHxCYXJjZWxvbmElMjBTcGFpbiUyMHRyYXZlbHxlbnwwfDB8fHwxNzgxMTAzMDc3fDA&ixlib=rb-4.1.0&q=80&w=1080,Paella,https://live.staticflickr.com/3285/4557154043_0bb1750e74_b.jpg,Tapas,https://live.staticflickr.com/6/11922611_66aba1383f_b.jpg,Gazpacho,https://live.staticflickr.com/3151/2304389388_cded17e6af_b.jpg,67.0,4.5,5.0,1820,Visa teletravail a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.4,4.2,"Barcelona ressort comme un hub interessant pour les teletravailleurs : coworking, services urbains et vie locale y sont particulierement solides.",790,750,200,"Cadre pour teletravailleurs internationaux, conditions a verifier au consulat.",Consulat / autorites espagnoles,
11,13.856666666666666,1.3322222222222222,Barcelona,ville,Spain,Catalonia,City,41.385064,2.173135,12700000,Euro (EUR),Roman Catholic,"Paella, Tapas, Gazpacho",Spanish,Été,Medium-high,"Generally safe, but watch out for pickpockets","Known for its Gaudi architecture, beautiful beaches, and vibrant nightlife.","A city of stunning architecture, art, and vibrant culture. Famous for La Sagrada Familia and Park Güell.",110,Vie nocturne | Culture | City Break,2,5,2,4,5,2,3,Vigilance modérée,3,2,5,3,2,Été,https://images.unsplash.com/photo-1593368858664-a7fe556ab936?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQxNTV8MHwxfHNlYXJjaHwxfHxCYXJjZWxvbmElMjBTcGFpbiUyMHRyYXZlbHxlbnwwfDB8fHwxNzgxMTAzMDc3fDA&ixlib=rb-4.1.0&q=80&w=1080,Paella,https://live.staticflickr.com/3285/4557154043_0bb1750e74_b.jpg,Tapas,https://live.staticflickr.com/6/11922611_66aba1383f_b.jpg,Gazpacho,https://live.staticflickr.com/3151/2304389388_cded17e6af_b.jpg,67.0,4.5,5.0,1820,Visa teletravail a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.4,4.2,"Barcelona ressort comme un hub interessant pour les teletravailleurs : coworking, services urbains et vie locale y sont particulierement solides.",790,750,200,"Cadre pour teletravailleurs internationaux, conditions a verifier au consulat.",Consulat / autorites espagnoles,
12,10.075268817204302,2.1333333333333333,Barcelona,ville,Spain,Catalonia,City,41.385064,2.173135,12700000,Euro (EUR),Roman Catholic,"Paella, Tapas, Gazpacho",Spanish,Été,Medium-high,"Generally safe, but watch out for pickpockets","Known for its Gaudi architecture, beautiful beaches, and vibrant nightlife.","A city of stunning architecture, art, and vibrant culture. Famous for La Sagrada Familia and Park Güell.",110,Vie nocturne | Culture | City Break,2,5,2,4,5,2,3,Vigilance modérée,2,2,5,3,2,Été,https://images.unsplash.com/photo-1593368858664-a7fe556ab936?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQxNTV8MHwxfHNlYXJjaHwxfHxCYXJjZWxvbmElMjBTcGFpbiUyMHRyYXZlbHxlbnwwfDB8fHwxNzgxMTAzMDc3fDA&ixlib=rb-4.1.0&q=80&w=1080,Paella,https://live.staticflickr.com/3285/4557154043_0bb1750e74_b.jpg,Tapas,https://live.staticflickr.com/6/11922611_66aba1383f_b.jpg,Gazpacho,https://live.staticflickr.com/3151/2304389388_cded17e6af_b.jpg,67.0,4.5,5.0,1820,Visa teletravail a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.4,4.2,"Barcelona ressort comme un hub interessant pour les teletravailleurs : coworking, services urbains et vie locale y sont particulierement solides.",790,750,200,"Cadre pour teletravailleurs internationaux, conditions a verifier au consulat.",Consulat / autorites espagnoles,
1,6.290322580645161,1.621505376344086,Madrid,ville,Spain,Community of Madrid,City,40.416775,-3.70379,7000000,Euro (EUR),Roman Catholic,"Tapas, Tortilla Española, Jamón Ibérico",Spanish,Été,Medium-high,"Generally safe, but be aware of pickpockets","The capital city, known for its world-class museums, lively atmosphere, and historical landmarks.","Home to the Prado Museum, Royal Palace, and rich Spanish history.",100,Vie nocturne | Culture | City Break,2,5,2,4,5,2,3,Vigilance modérée,2,3,5,3,2,Été,https://images.unsplash.com/photo-1543783207-ec64e4d95325?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQxNTV8MHwxfHNlYXJjaHwxfHxNYWRyaWQlMjBTcGFpbiUyMHRyYXZlbHxlbnwwfDB8fHwxNzgxMTAzMDc3fDA&ixlib=rb-4.1.0&q=80&w=1080,Tapas,https://live.staticflickr.com/6/11922611_66aba1383f_b.jpg,Tortilla Española,https://live.staticflickr.com/2643/3698279330_b61ef44296_b.jpg,Jamón Ibérico,https://live.staticflickr.com/3280/3062766075_31f0c44bdb_b.jpg,68.0,4.5,5.0,1680,Visa teletravail a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.4,4.2,"Madrid ressort comme un hub interessant pour les teletravailleurs : coworking, services urbains et vie locale y sont particulierement solides.",720,680,200,"Cadre pour teletravailleurs internationaux, conditions a verifier au consulat.",Consulat / autorites espagnoles,
2,7.661176470588236,0.6058823529411764,Madrid,ville,Spain,Community of Madrid,City,40.416775,-3.70379,7000000,Euro (EUR),Roman Catholic,"Tapas, Tortilla Española, Jamón Ibérico",Spanish,Été,Medium-high,"Generally safe, but be aware of pickpockets","The capital city, known for its world-class museums, lively atmosphere, and historical landmarks.","Home to the Prado Museum, Royal Palace, and rich Spanish history.",100,Vie nocturne | Culture | City Break,2,5,2,4,5,2,3,Vigilance modérée,2,3,5,3,2,Été,https://images.unsplash.com/photo-1543783207-ec64e4d95325?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQxNTV8MHwxfHNlYXJjaHwxfHxNYWRyaWQlMjBTcGFpbiUyMHRyYXZlbHxlbnwwfDB8fHwxNzgxMTAzMDc3fDA&ixlib=rb-4.1.0&q=80&w=1080,Tapas,https://live.staticflickr.com/6/11922611_66aba1383f_b.jpg,Tortilla Española,https://live.staticflickr.com/2643/3698279330_b61ef44296_b.jpg,Jamón Ibérico,https://live.staticflickr.com/3280/3062766075_31f0c44bdb_b.jpg,68.0,4.5,5.0,1680,Visa teletravail a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.4,4.2,"Madrid ressort comme un hub interessant pour les teletravailleurs : coworking, services urbains et vie locale y sont particulierement solides.",720,680,200,"Cadre pour teletravailleurs internationaux, conditions a verifier au consulat.",Consulat / autorites espagnoles,
3,10.25268817204301,3.860215053763441,Madrid,ville,Spain,Community of Madrid,City,40.416775,-3.70379,7000000,Euro (EUR),Roman Catholic,"Tapas, Tortilla Española, Jamón Ibérico",Spanish,Été,Medium-high,"Generally safe, but be aware of pickpockets","The capital city, known for its world-class museums, lively atmosphere, and historical landmarks.","Home to the Prado Museum, Royal Palace, and rich Spanish history.",100,Vie nocturne | Culture | City Break,2,5,2,4,5,2,3,Vigilance modérée,2,3,5,3,2,Été,https://images.unsplash.com/photo-1543783207-ec64e4d95325?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQxNTV8MHwxfHNlYXJjaHwxfHxNYWRyaWQlMjBTcGFpbiUyMHRyYXZlbHxlbnwwfDB8fHwxNzgxMTAzMDc3fDA&ixlib=rb-4.1.0&q=80&w=1080,Tapas,https://live.staticflickr.com/6/11922611_66aba1383f_b.jpg,Tortilla Española,https://live.staticflickr.com/2643/3698279330_b61ef44296_b.jpg,Jamón Ibérico,https://live.staticflickr.com/3280/3062766075_31f0c44bdb_b.jpg,68.0,4.5,5.0,1680,Visa teletravail a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.4,4.2,"Madrid ressort comme un hub interessant pour les teletravailleurs : coworking, services urbains et vie locale y sont particulierement solides.",720,680,200,"Cadre pour teletravailleurs internationaux, conditions a verifier au consulat.",Consulat / autorites espagnoles,
4,14.828888888888889,1.5155555555555555,Madrid,ville,Spain,Community of Madrid,City,40.416775,-3.70379,7000000,Euro (EUR),Roman Catholic,"Tapas, Tortilla Española, Jamón Ibérico",Spanish,Été,Medium-high,"Generally safe, but be aware of pickpockets","The capital city, known for its world-class museums, lively atmosphere, and historical landmarks.","Home to the Prado Museum, Royal Palace, and rich Spanish history.",100,Vie nocturne | Culture | City Break,2,5,2,4,5,2,3,Vigilance modérée,3,3,5,3,2,Été,https://images.unsplash.com/photo-1543783207-ec64e4d95325?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQxNTV8MHwxfHNlYXJjaHwxfHxNYWRyaWQlMjBTcGFpbiUyMHRyYXZlbHxlbnwwfDB8fHwxNzgxMTAzMDc3fDA&ixlib=rb-4.1.0&q=80&w=1080,Tapas,https://live.staticflickr.com/6/11922611_66aba1383f_b.jpg,Tortilla Española,https://live.staticflickr.com/2643/3698279330_b61ef44296_b.jpg,Jamón Ibérico,https://live.staticflickr.com/3280/3062766075_31f0c44bdb_b.jpg,68.0,4.5,5.0,1680,Visa teletravail a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.4,4.2,"Madrid ressort comme un hub interessant pour les teletravailleurs : coworking, services urbains et vie locale y sont particulierement solides.",720,680,200,"Cadre pour teletravailleurs internationaux, conditions a verifier au consulat.",Consulat / autorites espagnoles,
5,17.672043010752688,1.9311827956989247,Madrid,ville,Spain,Community of Madrid,City,40.416775,-3.70379,7000000,Euro (EUR),Roman Catholic,"Tapas, Tortilla Española, Jamón Ibérico",Spanish,Été,Medium-high,"Generally safe, but be aware of pickpockets","The capital city, known for its world-class museums, lively atmosphere, and historical landmarks.","Home to the Prado Museum, Royal Palace, and rich Spanish history.",100,Vie nocturne | Culture | City Break,2,5,2,4,5,2,3,Vigilance modérée,3,3,5,3,2,Été,https://images.unsplash.com/photo-1543783207-ec64e4d95325?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQxNTV8MHwxfHNlYXJjaHwxfHxNYWRyaWQlMjBTcGFpbiUyMHRyYXZlbHxlbnwwfDB8fHwxNzgxMTAzMDc3fDA&ixlib=rb-4.1.0&q=80&w=1080,Tapas,https://live.staticflickr.com/6/11922611_66aba1383f_b.jpg,Tortilla Española,https://live.staticflickr.com/2643/3698279330_b61ef44296_b.jpg,Jamón Ibérico,https://live.staticflickr.com/3280/3062766075_31f0c44bdb_b.jpg,68.0,4.5,5.0,1680,Visa teletravail a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.4,4.2,"Madrid ressort comme un hub interessant pour les teletravailleurs : coworking, services urbains et vie locale y sont particulierement solides.",720,680,200,"Cadre pour teletravailleurs internationaux, conditions a verifier au consulat.",Consulat / autorites espagnoles,
6,23.98111111111111,1.4344444444444444,Madrid,ville,Spain,Community of Madrid,City,40.416775,-3.70379,7000000,Euro (EUR),Roman Catholic,"Tapas, Tortilla Española, Jamón Ibérico",Spanish,Été,Medium-high,"Generally safe, but be aware of pickpockets","The capital city, known for its world-class museums, lively atmosphere, and historical landmarks.","Home to the Prado Museum, Royal Palace, and rich Spanish history.",100,Vie nocturne | Culture | City Break,2,5,2,4,5,2,3,Vigilance modérée,5,3,5,3,2,Été,https://images.unsplash.com/photo-1543783207-ec64e4d95325?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQxNTV8MHwxfHNlYXJjaHwxfHxNYWRyaWQlMjBTcGFpbiUyMHRyYXZlbHxlbnwwfDB8fHwxNzgxMTAzMDc3fDA&ixlib=rb-4.1.0&q=80&w=1080,Tapas,https://live.staticflickr.com/6/11922611_66aba1383f_b.jpg,Tortilla Española,https://live.staticflickr.com/2643/3698279330_b61ef44296_b.jpg,Jamón Ibérico,https://live.staticflickr.com/3280/3062766075_31f0c44bdb_b.jpg,68.0,4.5,5.0,1680,Visa teletravail a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.4,4.2,"Madrid ressort comme un hub interessant pour les teletravailleurs : coworking, services urbains et vie locale y sont particulierement solides.",720,680,200,"Cadre pour teletravailleurs internationaux, conditions a verifier au consulat.",Consulat / autorites espagnoles,
7,27.866666666666667,0.0247311827956989,Madrid,ville,Spain,Community of Madrid,City,40.416775,-3.70379,7000000,Euro (EUR),Roman Catholic,"Tapas, Tortilla Española, Jamón Ibérico",Spanish,Été,Medium-high,"Generally safe, but be aware of pickpockets","The capital city, known for its world-class museums, lively atmosphere, and historical landmarks.","Home to the Prado Museum, Royal Palace, and rich Spanish history.",100,Vie nocturne | Culture | City Break,2,5,2,4,5,2,3,Vigilance modérée,5,3,5,3,2,Été,https://images.unsplash.com/photo-1543783207-ec64e4d95325?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQxNTV8MHwxfHNlYXJjaHwxfHxNYWRyaWQlMjBTcGFpbiUyMHRyYXZlbHxlbnwwfDB8fHwxNzgxMTAzMDc3fDA&ixlib=rb-4.1.0&q=80&w=1080,Tapas,https://live.staticflickr.com/6/11922611_66aba1383f_b.jpg,Tortilla Española,https://live.staticflickr.com/2643/3698279330_b61ef44296_b.jpg,Jamón Ibérico,https://live.staticflickr.com/3280/3062766075_31f0c44bdb_b.jpg,68.0,4.5,5.0,1680,Visa teletravail a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.4,4.2,"Madrid ressort comme un hub interessant pour les teletravailleurs : coworking, services urbains et vie locale y sont particulierement solides.",720,680,200,"Cadre pour teletravailleurs internationaux, conditions a verifier au consulat.",Consulat / autorites espagnoles,
8,28.42043010752688,0.1849462365591397,Madrid,ville,Spain,Community of Madrid,City,40.416775,-3.70379,7000000,Euro (EUR),Roman Catholic,"Tapas, Tortilla Española, Jamón Ibérico",Spanish,Été,Medium-high,"Generally safe, but be aware of pickpockets","The capital city, known for its world-class museums, lively atmosphere, and historical landmarks.","Home to the Prado Museum, Royal Palace, and rich Spanish history.",100,Vie nocturne | Culture | City Break,2,5,2,4,5,2,3,Vigilance modérée,5,3,5,3,2,Été,https://images.unsplash.com/photo-1543783207-ec64e4d95325?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5NzQxNTV8MHwxfHNlYXJjaHwxfHxNYWRyaWQlMjBTcGFpbiUyMHRyYXZlbHxlbnwwfDB8fHwxNzgxMTAzMDc3fDA&ixlib=rb-4.1.0&q=80&w=1080,Tapas,https://live.staticflickr.com/6/11922611_66aba1383f_b.jpg,Tortilla Española,https://live.staticflickr.com/2643/3698279330_b61ef44296_b.jpg,Jamón Ibérico,https://live.staticflickr.com/3280/3062766075_31f0c44bdb_b.jpg,68.0,4.5,5.0,1680,Visa teletravail a verifier,REURgime fiscal EUR EURtudier avec un expert avant dEURpart.,3.4,4.2,"Madrid ressort comme un hub interessant pour les teletravailleurs : coworking, services urbains et vie locale y sont particulierement solides.",720,680,200,"Cadre pour teletravailleurs internationaux, conditions a verifier au consulat.",Consulat / autorites espagnoles,
